               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11085,            0.019068,                   0,           0.0014286,             0.42857,           0.0053513,           0.0012247,             0.10262,             0.01212,                   0,              0.0021,              0.0021,              0.0811
                   1,            0.089174,            0.021855,                   0,            0.029016,             0.21429,            0.033006,           0.0074875,            0.092257,            0.010321,                   0,           0.0042574,           0.0042574,            0.061257
                   2,            0.074931,            0.021507,                   0,             0.16677,             0.28571,             0.10649,            0.032778,            0.082466,            0.010709,                   0,           0.0063713,           0.0063713,            0.041371
                   3,            0.069363,            0.019899,                   0,            0.082896,             0.28571,            0.083809,             0.02225,            0.083339,            0.011476,                   0,           0.0084416,           0.0084416,            0.021442
                   4,            0.065742,             0.02281,                   0,             0.27465,             0.21429,             0.11657,            0.030488,            0.077609,           0.0094485,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.063831,            0.019493,                   0,             0.18704,             0.42857,             0.13625,            0.028714,            0.090656,           0.0072809,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.056679,            0.020263,                   0,             0.51474,             0.35714,             0.32732,            0.093871,            0.065924,           0.0090786,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.056858,            0.018618,                   0,             0.40825,             0.59206,             0.45916,             0.14163,             0.05351,            0.008198,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.051765,            0.019434,                   0,             0.48534,             0.64286,             0.47547,             0.11601,            0.054825,           0.0078759,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048583,            0.016922,                   0,             0.87107,             0.64286,             0.78042,             0.28562,            0.047691,           0.0074904,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047473,            0.016845,                   0,             0.57881,                 0.5,             0.40483,             0.11831,            0.067074,           0.0060868,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045496,            0.016068,                   0,             0.67914,             0.75706,             0.70295,             0.37002,            0.036566,           0.0067852,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.044293,            0.014136,                   0,             0.56832,             0.42857,             0.45827,             0.11738,            0.059125,           0.0060534,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.043732,            0.015064,                   0,             0.76482,             0.78571,             0.79965,             0.30315,            0.039578,           0.0058849,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.039127,            0.015139,                   0,             0.71206,             0.70704,               0.664,             0.28933,            0.046987,           0.0051051,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038803,            0.015509,                   0,             0.73968,             0.64286,             0.64668,             0.21849,            0.050631,           0.0050644,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039326,            0.014322,                   0,             0.81315,             0.71429,             0.82482,             0.35596,            0.045765,           0.0052677,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.037965,            0.013622,                   0,             0.82071,             0.65476,             0.80345,             0.45745,              0.0391,           0.0050931,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.037793,            0.013382,                   0,              0.7101,             0.71429,             0.66264,             0.25346,            0.045519,            0.005101,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.037737,            0.013307,                   0,             0.83699,             0.85714,              0.8431,             0.41019,            0.035054,           0.0051332,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034416,            0.013989,                   0,             0.99948,             0.78571,               0.847,              0.5307,            0.032967,           0.0050214,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033995,            0.012811,                   0,             0.84344,             0.85714,             0.84971,             0.39181,            0.040168,            0.004502,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034892,            0.013273,                   0,             0.86128,             0.88819,             0.90338,             0.48899,            0.033864,           0.0043926,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.032188,            0.011968,                   0,             0.71534,             0.85714,             0.66757,             0.30976,            0.044794,           0.0044633,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.034024,            0.012424,                   0,             0.78559,             0.78516,             0.84632,             0.36664,            0.045441,           0.0044615,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.031061,            0.012639,                   0,              0.9921,             0.78571,             0.84305,             0.38305,            0.038996,           0.0045501,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.032084,            0.012341,                   0,             0.70363,             0.71429,             0.66556,             0.34609,            0.038521,           0.0045773,                   0,            0.007525,            0.007525,            0.007525
